,a2c_with_rc,a2c_no_rc,sac_with_rc,sac_no_rc,mean var,dji
2022-06-03,1139173.272655743,934780.7437342836,1032693.9500967828,918248.2156738357,916721.6117966506,958435.5136013648
2022-06-06,1139832.9992411311,936070.6779307558,1032485.1268088189,919519.3249153213,918773.018864836,958904.016057219
2022-06-07,1145433.8720209773,944582.186105652,1039615.8223425713,923595.3727211074,927124.2792366102,966605.3452295252
2022-06-08,1134219.397289532,932896.7565173341,1031072.306557354,913177.1795066909,920754.3827343076,958761.769744414
2022-06-09,1117996.9287645991,909761.065969391,1009210.6642081109,896969.2917884903,908382.2598697,940172.3388047713
2022-06-10,1100599.2500918086,876888.8309992983,985469.5690390435,871311.0902198867,882106.5524771113,914536.1393258254
2022-06-13,1088367.7989871637,856949.4997280809,963178.7694708672,846189.8093628006,853636.8633615017,889015.045563201
2022-06-14,1085436.1678484157,855440.3943629457,954606.252159771,844825.2147811966,846553.7464398809,884589.5920762658
2022-06-15,1086003.5596125757,870111.1922171785,963754.5684363213,861309.8973259048,856133.5602040199,893436.9713415785
2022-06-16,1065238.6733548394,849259.1978476717,944805.270279583,847864.6039756851,831782.1428149443,871836.7549451077
2022-06-17,1059516.995679226,848524.1157384645,945857.6416937676,845983.7881340103,830695.6046938921,870721.2593600919
2022-06-21,1084717.3012738612,868851.9051083184,959567.1805655328,863436.1797775344,854585.5569897393,889408.6126614695
2022-06-22,1087897.967400204,869157.290840439,963701.3141791192,867348.2784561233,856976.4382176581,888035.9357429025
2022-06-23,1090916.9129120295,878553.3898318331,976343.9615866509,874944.9464325027,876617.4901272856,893694.2095736548
2022-06-24,1109674.1374978258,905733.0145648043,1003673.4784933892,899045.4151214676,892814.8185881895,917679.2138535619
2022-06-27,1112277.198723717,903378.6305468599,998154.0159003106,898762.6533493118,895875.0299921305,915860.7938891894
2022-06-28,1101696.7077111437,892299.11643248,972573.80497044,889775.1686615066,872318.9738457246,901549.1078652652
2022-06-29,1109326.9439057542,900633.849510483,973837.5709463921,896431.2909454422,883064.1563010669,903947.2669021052
2022-06-30,1106262.1519173814,888901.2172549288,970399.6605307427,888132.6110748367,875850.3759976014,896551.1983170782
2022-07-01,1121592.1062243807,897097.0323031466,981909.54766148,898625.5891517715,886577.2945010387,905926.7665910978
2022-07-05,1112214.3167498934,896558.4474413912,981161.4320227471,893847.2878593521,891196.1601384442,902155.9306356908
2022-07-06,1112996.229202591,897612.9149477999,981875.3374258843,894404.5614341812,899261.7377754964,904191.0770822527
2022-07-07,1122444.5924304354,908881.6539233248,987558.1289679375,903493.6086525039,910624.4692978598,914296.1413468609
2022-07-08,1123311.5971873628,908469.1754458467,986682.986649212,902799.7684997634,913723.8726749426,912944.4030855387
2022-07-11,1122093.9011882173,900353.5619738619,987365.9877249566,897645.6235565261,907158.9168521465,908157.7008626044
2022-07-12,1112696.298042618,895976.1691363375,982032.7796561089,902030.006395729,903886.3239079902,902549.4977339593
2022-07-13,1108901.2681201326,889169.7645876925,979033.8843848077,892938.8452400283,897667.5477522139,896474.2715111133
2022-07-14,1106518.4323390352,883488.8218462984,980270.257012066,889379.3432602005,904361.9999038157,892319.4843081833
2022-07-15,1121834.7890246736,907277.0595858614,997607.4475561944,912622.1710990982,927697.0239578793,911490.9871598236
2022-07-18,1110740.4819796907,904167.3677676241,984961.8487860528,911048.6875251846,916495.7046001893,905208.6503055337
2022-07-19,1122101.7040866243,935339.7433703463,999028.2378088799,941181.1313118057,941721.0174022648,927187.0711984901
2022-07-20,1115788.850788437,939646.748123459,999538.2803427544,942556.249655159,942706.9170929866,928579.264311174
2022-07-21,1112000.0990908968,949151.264038376,1007038.1564032403,950952.4101051406,951986.1506466634,933300.4194331678
2022-07-22,1113265.8025554048,943633.748276047,1007676.1081320611,946481.8307861404,948592.2671621569,929291.5200486506
2022-07-25,1114681.743847214,945032.1593630831,1009552.6519476739,949794.3799347,949562.5920001575,931935.2531199169
2022-07-26,1123203.1610148775,937343.4577029268,1006789.4072577325,938649.1729644851,937522.8903579115,925278.5808688496
2022-07-27,1130584.2013667452,958027.34249144,1006284.0591894952,947342.8688797073,952800.0729602147,937981.6317905261
2022-07-28,1139764.3172381746,969318.1675494234,1014621.1974341241,955576.4740776138,960725.4920864592,947654.6655538832
2022-07-29,1149991.5546420442,979929.4629977266,1017681.0006415215,960548.4463371353,973708.1416459784,956845.7688094575
2022-08-01,1148433.2815554964,973948.3364413301,1018363.5474707452,966296.1736778335,971814.5927274002,955484.4146973898
2022-08-02,1139602.4556620943,964171.3124850313,1004053.8290106622,955370.7877334671,963359.5206719225,943766.6755352501
2022-08-03,1144678.897274338,983598.1502230684,1017807.365441021,967940.0061325149,985094.7990077045,955895.2220487702
2022-08-04,1136349.07397493,981440.4691241304,1021227.496994671,962383.5294822769,981947.9323715059,953399.1975487205
2022-08-05,1137245.745308243,983245.0183032076,1023206.3936087457,964874.312822731,984037.9296190032,955632.1232686064
2022-08-08,1135235.3503077852,983443.5903170626,1021114.6233908501,968694.8820556717,985988.3728703306,956479.0009165215
2022-08-09,1141039.7930491793,986794.9460375826,1014433.0565878716,967067.9407409744,976664.5223418048,954785.5870118419
2022-08-10,1151375.0242923128,1009624.9591601412,1025877.4666601983,984731.3417991714,993491.7910444528,970374.189736553
2022-08-11,1149582.105301224,1009510.4358981173,1020926.5379187432,983668.4450325088,988627.5857358514,971165.4206268988
2022-08-12,1161621.049175583,1020970.0709231417,1024513.479378399,995382.8971542434,1006747.6052969628,983528.4459624465
2022-08-15,1168319.6158526766,1027382.2773898165,1034594.92997044,999310.9862617569,1009516.1070834855,987938.7644416991
2022-08-16,1177545.0071986543,1028235.0976641695,1044365.9088751641,1011528.7698959426,1022080.6850665428,994917.9375331576
2022-08-17,1179471.9139407503,1027282.0280230562,1036891.9771963921,1004611.3622688369,1021818.2595075929,989916.2157837874
2022-08-18,1183570.946682297,1027166.6291964571,1035939.9357306329,1005072.4993499832,1020223.9829134892,990461.5312485562
2022-08-19,1180841.4233516084,1017509.7443469088,1033328.0159155694,994784.156446846,1011275.8151561426,981946.2117758553
2022-08-22,1163213.4187167513,997561.2094119112,1016346.1311957208,975995.3425315933,990759.5988079614,963210.5516266491
2022-08-23,1156367.272613846,991204.9847872774,1008053.3554007378,967994.6973976211,980341.7231041475,958723.6477325823
2022-08-24,1156350.645080887,993225.4693606417,1008148.6678320733,973471.887369545,983618.3305049357,960461.1010957062
2022-08-25,1163786.7104686128,1004983.0516970675,1019295.7927786675,984380.697462471,992103.6970472508,969857.664925496
2022-08-26,1137643.709522568,973988.1546557466,987797.9528815118,957230.7236389236,958454.2494142685,940481.4684917589
2022-08-29,1134477.4007686006,966723.9212265932,981229.0258032647,954689.2860931472,951718.4993827017,935109.2235467946
2022-08-30,1124015.5328410494,960267.4389119074,975169.349816021,946389.5221695022,940288.3281178753,926133.0260206059
2022-08-31,1119737.105175339,958628.9015110208,965943.0501639214,942674.1040481643,931161.1550382092,917963.2512909707
2022-09-01,1133398.9269141085,964699.3732774316,978521.6899649468,945567.4249786453,939070.6628521368,922216.2453482611
2022-09-02,1124204.318587849,953126.320135296,965053.870545086,936725.8010009842,929298.8982093686,912370.183170008
2022-09-06,1121100.379088791,944906.0147382623,962659.1535498467,932549.5812858657,924863.5651821841,907326.2996135225
2022-09-07,1134141.7490652697,956586.825474804,976075.3072439996,947460.0920394973,938929.9008352056,920027.2452897694
2022-09-08,1141317.6718481677,960699.3583422357,979233.8159796563,956830.339083107,942636.0286635977,925656.7284668101
2022-09-09,1145445.8342245715,974177.6783343011,992179.6017538873,961045.1501449661,949462.4690784072,936645.0854354113
2022-09-12,1146030.453182091,979370.4353686029,996133.5193487969,961688.4650596695,963769.310545385,943334.6450339991
2022-09-13,1111884.614208092,934702.1934710199,960522.4042288628,917731.3292450027,913680.2082146385,906151.4019682793
2022-09-14,1116756.725285042,932909.3172808343,963838.7673842278,917381.8340324478,913675.1387816462,907028.8341241849
2022-09-15,1109625.4958296472,931818.999592846,954494.7520872918,921498.4848655777,909295.1177551998,901981.1383665162
2022-09-16,1113410.901591366,926577.5049791986,956447.9115950433,915537.1924690322,907729.2238435418,897920.1199329871
2022-09-19,1119882.0219521753,934107.9426470452,957191.2594534722,921624.9386352615,921872.959531119,903666.7002747288
2022-09-20,1109838.4400251887,927750.5453234368,948773.8344122735,912446.8692955093,917105.0998725317,894535.2835720076
2022-09-21,1093307.6368349725,914737.2442980462,932440.0821959344,900581.2658447342,901021.134905296,879315.2125945113
2022-09-22,1090198.7013231013,909223.2265978509,931635.1285292474,893683.2729209976,900005.221277405,876195.1819694492
2022-09-23,1074853.949705456,892363.3189593011,926961.6256644097,876799.9705185012,893753.0430821996,862029.1561698371
2022-09-26,1064435.3571113092,883512.1136159479,916494.2948691216,863793.1519569473,886753.9847642957,852427.2455628823
2022-09-27,1051938.4848426324,880458.2245902902,909687.7962080804,862598.6070312576,891103.9463252791,848761.8425745262
2022-09-28,1065361.9565609323,895454.8799882127,924481.8676115838,886627.1679824905,904489.1982700236,864748.0521927895
2022-09-29,1055211.7925111295,876470.4643591311,914986.7566954461,870663.0249771194,882335.795005664,851401.7634446094
2022-09-30,1040264.7181226256,862533.0910043794,903617.0844275323,858996.617220314,863496.7469666556,836832.8391886088
2022-10-03,1066329.0849534513,884772.6485316316,919065.1464659539,880689.4951576309,886289.1553276536,859129.9487207732
2022-10-04,1087176.3599345323,913158.0282943803,938657.2420889703,907434.2639526443,906024.4350251759,883176.403407812
2022-10-05,1089746.909762108,908889.1154311143,938908.7229048577,903549.2344116287,910406.0184638866,881939.7139642864
2022-10-06,1075461.5557505724,897725.6579389573,925295.5013014642,895205.6082672195,903975.7747663894,871832.9427439246
2022-10-07,1060012.5335871812,877658.3673926012,910956.8259970513,878091.9774879531,878026.8960130098,853475.3732941538
2022-10-10,1060486.1054154092,876982.1585527917,908049.4327818719,878569.9719871597,872234.3783002123,850739.6353077653
2022-10-11,1073847.0657578164,878076.3712442286,909046.1863600579,883488.9063247757,870410.3908567306,851797.3788897824
2022-10-12,1073491.4922829324,878950.5531709559,906544.4123961297,881458.0318931655,867357.7285157394,850971.7812902628
2022-10-13,1109328.7076683694,906724.177685055,928900.942860302,901735.3202919082,884892.6161088882,875089.359133704
2022-10-14,1095717.6032287504,891346.6673601953,917547.0233389703,893700.6281761245,870760.3928024158,863323.1993266856
2022-10-17,1109336.2654601957,909597.6072863428,931768.4413725701,908252.0555976944,889773.7731078457,879374.6715532638
2022-10-18,1118701.4687606718,919188.817262539,939185.5620810357,918096.8441909866,897188.1155883152,889220.7337315168
2022-10-19,1121766.9577972319,913198.0794466821,930908.7880560723,912651.0343536453,887125.0288689381,886307.8137378986
2022-10-20,1124131.590670767,910415.248399624,928016.6610953179,909237.7222122268,881162.9729539655,883679.5001669403
2022-10-21,1147170.883715811,939145.1224230615,946117.3062216607,933767.2544883804,902454.4998123345,905498.54829103
2022-10-24,1163059.8753921415,956959.204637417,957373.8929907647,950481.3860992508,917721.2830924732,917648.3179544206
